"コード","都道府県","郵便番号","都道府県庁所在地","市区町村名","大字町丁目名","latitude","longitude","googlelat","googlelong"
"01000","北海道","060-8588","札幌市中央区北3条西6-1","札幌市中央区","北三条西六丁目","43.064438","141.347060","43.0639999","141.3467505"
"02000","青森県","030-8570","青森市長島1-1-1","青森市","長島一丁目","40.824117","140.742314","40.8242046","140.7380208"
"03000","岩手県","020-8570","盛岡市内丸10-1","盛岡市","内丸","39.701902","141.152504","39.7034733","141.1504007"
"04000","宮城県","980-8570","仙台市青葉区本町3-8-1","仙台市青葉区","本町三丁目","38.267944","140.872751","38.2686759","140.8699814"
"05000","秋田県","010-8570","秋田市山王4-1-1","秋田市","山王四丁目","39.717358","140.102872","39.7186038","140.1001451"
"06000","山形県","990-8570","山形市松波2-8-1","山形市","松波二丁目","38.240797","140.361110","38.2404133","140.3613521"
"07000","福島県","960-8670","福島市杉妻町2-16","福島市","杉妻町","37.750147","140.468164","37.7501135","140.4645028"
"08000","茨城県","310-8555","水戸市笠原町978-6","水戸市","笠原町","36.341498","140.448466","36.3418198","140.4450216"
"09000","栃木県","320-8501","宇都宮市塙田1-1-20","宇都宮市","塙田一丁目","36.565789","139.884885","36.5658107","139.8814260"
"10000","群馬県","371-8570","前橋市大手町1-1-1","前橋市","大手町一丁目","36.390336","139.060124","36.3928988","139.0527667"
"11000","埼玉県","330-9301","さいたま市浦和区高砂3-15-1","さいたま市浦和区","高砂三丁目","35.856701","139.650144","35.8573188","139.6465331"
"12000","千葉県","260-8667","千葉市中央区市場町1-1","千葉市中央区","市場町","35.604414","140.123915","35.6050836","140.1211393"
"13000","東京都","163-8001","新宿区西新宿2-8-1","新宿区","西新宿二丁目","35.689450","139.691774","35.6893138","139.6903166"
"14000","神奈川県","231-8588","横浜市中区日本大通1","横浜市中区","日本大通","35.446371","139.642363","35.4463838","139.6430061"
"15000","新潟県","950-8570","新潟市中央区新光町4-1","新潟市","新光町","37.901591","139.020995","37.9019871","139.0211092"
"16000","富山県","930-8501","富山市新総曲輪1-7","富山市","新総曲輪","36.695954","137.211472","36.6616337","137.1861941"
"17000","石川県","920-8580","金沢市鞍月1-1","金沢市","鞍月一丁目","36.593998","136.625372","36.5946751","136.6234740"
"18000","福井県","910-8580","福井市大手3-17-1","福井市","大手三丁目","36.064900","136.219363","36.0652433","136.2195019"
"19000","山梨県","400-8501","甲府市丸の内1-6-1","甲府市","丸の内一丁目","35.664953","138.570319","35.6641304","138.5662359"
"20000","長野県","380-8570","長野市大字南長野字幅下692-2","長野市","大字南長野","36.649947","138.184107","36.6512863","138.1787833"
"21000","岐阜県","500-8570","岐阜市藪田南2-1-1","岐阜市","薮田南二丁目","35.391964","136.723151","35.3911538","136.7200103"
"22000","静岡県","420-8601","静岡市葵区追手町9-6","静岡市葵区","追手町","34.977739","138.380353","34.9768921","138.3807922"
"23000","愛知県","460-8501","名古屋市中区三の丸3-1-2","名古屋市中区","三の丸三丁目","35.180469","136.907282","34.9768806","138.3829737"
"24000","三重県","514-8570","津市広明町13","津市","広明町","34.731281","136.507031","34.7302617","136.5064929"
"25000","滋賀県","520-8577","大津市京町4-1-1","大津市","京町四丁目","35.004626","135.869773","35.0044652","135.8663454"
"26000","京都府","602-8570","京都市上京区下立売通新町西入薮ノ内町","京都市上京区","","","","35.0208596","135.7534221"
"27000","大阪府","540-8570","大阪市中央区大手前2-1-22","大阪市中央区","大手前二丁目","34.687006","135.519317","34.6622270","135.4496584"
"28000","兵庫県","650-8567","神戸市中央区下山手通5-10-1","神戸市中央区","下山手通五丁目","34.690410","135.183182","34.6916458","135.1827343"
"29000","奈良県","630-8501","奈良市登大路町30","奈良市","登大路町","34.683858","135.833231","34.6853070","135.8306758"
"30000","和歌山県","640-8585","和歌山市小松原通1-1","和歌山市","小松原通一丁目","34.225812","135.168052","34.2260344","135.1652783"
"31000","鳥取県","680-8570","鳥取市東町1-220","鳥取市","東町一丁目","35.504491","134.238705","35.5034671","134.2360692"
"32000","島根県","690-8501","松江市殿町1","松江市","殿町","35.474303","133.052059","35.4718841","133.0480354"
"33000","岡山県","700-8570","岡山市北区内山下2-4-6","岡山市北区","内山下二丁目","34.660804","133.934510","34.6617770","133.9324865"
"34000","広島県","730-8511","広島市中区基町10-52","広島市中区","基町","34.401095","132.456506","34.3962455","132.4581442"
"35000","山口県","753-8501","山口市滝町1-1","山口市","滝町","34.188476","131.465516","34.1858902","131.4684390"
"36000","徳島県","770-8570","徳島市万代町1-1","徳島市","万代町一丁目","34.066100","134.557923","34.0658184","134.5570616"
"37000","香川県","760-8570","高松市番町4-1-10","高松市","番町四丁目","34.340772","134.041279","34.3401210","134.0411232"
"38000","愛媛県","790-8570","松山市一番町4-4-2","松山市","一番町四丁目","33.841289","132.766214","33.8416624","132.7634717"
"39000","高知県","780-8570","高知市丸ノ内1-2-20","高知市","丸ノ内一丁目","33.560815","133.530759","33.5596940","133.5286983"
"40000","福岡県","812-8577","福岡市博多区東公園7-7","福岡市博多区","東公園","33.605706","130.419358","33.6063181","130.4158404"
"41000","佐賀県","840-8570","佐賀市城内1-1-59","佐賀市","城内一丁目","33.246977","130.298440","33.2494430","130.2966155"
"42000","長崎県","850-8570","長崎市尾上町3-1","長崎市","尾上町","32.752794","129.868669","32.7504351","129.8659843"
