"_acquisition_time","Date","DP Confirmed","DP Recovered","DP Deceased","DP Critical","DP Tested","Nagasaki Confirmed","Nagasaki Recovered","Nagasaki Deceased","Nagasaki Critical","Nagasaki Tested"
"2020/05/16 20:17:49 -0900","2020-02-03","0","0","0","0","0","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-04","10","0","0","0","31","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-05","10","0","0","0","31","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-06","20","","0","","102","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-07","61","","0","","273","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-08","64","","0","","279","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-09","70","","0","","336","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-10","135","","0","","439","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-11","135","","0","","439","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-12","174","","0","","492","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-13","218","","0","","713","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-14","218","","0","","713","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-15","285","","0","","930","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-16","355","","0","27","1219","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-17","454","","0","","1723","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-18","542","","0","","2404","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-19","621","","0","","3011","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-20","634","","2","","3063","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-21","634","","2","","3063","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-22","691","","2","","3894","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-23","691","","3","","3894","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-24","691","","3","","3894","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-25","691","","4","","3894","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-26","705","","4","","4061","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-27","705","","4","","4061","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-28","705","","5","","4061","","","","",""
"2020/05/16 20:17:49 -0900","2020-02-29","705","","6","36","4061","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-01","705","","6","36","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-02","706","","6","34","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-03","706","","6","34","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-04","706","181","6","35","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-05","706","199","6","35","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-06","696","242","6","34","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-07","696","260","7","31","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-08","696","260","7","31","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-09","696","260","7","31","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-10","696","341","7","24","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-11","696","357","7","19","4089","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-12","697","388","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-13","697","390","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-14","697","456","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-15","712","458","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-16","712","458","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-17","712","458","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-18","712","458","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-19","712","458","7","15","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-20","712","551","8","12","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-21","712","","8","12","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-22","712","","8","12","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-23","712","587","8","12","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-24","712","590","10","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-25","712","597","10","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-26","712","601","10","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-27","712","603","10","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-28","712","603","10","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-29","712","603","10","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-30","712","603","11","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-03-31","712","610","11","11","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-01","712","610","11","10","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-02","712","619","11","10","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-03","712","619","11","10","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-04","712","619","11","9","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-05","712","619","11","9","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-06","712","619","11","8","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-07","712","620","11","8","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-08","712","638","11","8","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-09","712","638","11","8","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-10","712","639","11","8","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-11","712","644","12","8","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-12","712","644","12","6","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-13","712","644","12","6","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-14","712","644","12","6","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-15","712","645","12","5","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-16","712","645","13","4","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-17","712","645","13","4","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-18","712","644","13","4","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-19","712","644","13","4","4234","","","","",""
"2020/05/16 20:17:49 -0900","2020-04-20","712","645","13","4","4234","1","0","0","0","1"
"2020/05/16 20:17:49 -0900","2020-04-21","712","645","13","4","4234","33","0","0","0","58"
"2020/05/16 20:17:49 -0900","2020-04-22","712","645","13","4","4234","34","0","0","0","61"
"2020/05/16 20:17:49 -0900","2020-04-23","712","645","13","4","4234","48","0","0","0","127"
"2020/05/16 20:17:49 -0900","2020-04-24","712","645","13","4","4234","91","0","0","1","325"
"2020/05/16 20:17:49 -0900","2020-04-25","712","649","13","4","4234","148","0","0","1","623"
"2020/05/16 20:17:49 -0900","2020-04-26","712","649","13","4","4234","148","0","0","1","623"
"2020/05/16 20:17:49 -0900","2020-04-27","712","649","13","4","4234","148","0","0","1","623"
"2020/05/16 20:17:49 -0900","2020-04-28","712","651","13","4","4234","148","0","0","1","623"
"2020/05/16 20:17:49 -0900","2020-04-29","712","651","13","4","4234","148","0","0","1","623"
"2020/05/16 20:17:49 -0900","2020-04-30","712","651","13","4","4234","148","0","0","1","623"
"2020/05/16 20:17:49 -0900","2020-05-01","712","651","13","4","4234","148","0","0","1","623"
"2020/05/16 20:17:49 -0900","2020-05-02","712","651","13","4","4234","148","0","0","2","623"
"2020/05/16 20:17:49 -0900","2020-05-03","712","651","13","4","4234","148","0","0","2","623"
"2020/05/16 20:17:49 -0900","2020-05-04","712","651","13","4","4234","148","0","0","2","623"
"2020/05/16 20:17:49 -0900","2020-05-05","712","651","13","4","4234","148","0","0","3","623"
"2020/05/16 20:17:49 -0900","2020-05-06","712","651","13","4","4234","148","0","0","4","623"
"2020/05/16 20:17:49 -0900","2020-05-07","712","651","13","4","4234","148","0","0","4","623"
"2020/05/16 20:17:49 -0900","2020-05-08","712","651","13","4","4234","149","0","0","5","623"
"2020/05/16 20:17:49 -0900","2020-05-09","712","651","13","4","4234","149","0","0","5","623"
"2020/05/16 20:17:49 -0900","2020-05-10","712","651","13","4","4234","149","0","0","5","623"
"2020/05/16 20:17:49 -0900","2020-05-11","712","651","13","4","4234","149","0","0","5","623"
"2020/05/16 20:17:49 -0900","2020-05-12","712","651","13","4","4234","149","0","0","5","623"
