団体コード,都道府県名（漢字）,市区町村名（漢字）,都道府県名（ｶﾅ）,市区町村名（ｶﾅ）,都道府県名(カナ),市区町村名(カナ),都道府県名(かな),市区町村名(かな)
010006,北海道,北海道,ﾎｯｶｲﾄﾞｳ,ﾎｯｶｲﾄﾞｳ,ホッカイドウ,ホッカイドウ,ほっかいどう,ほっかいどう
011002,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,ホッカイドウ,サッポロシ,ほっかいどう,さっぽろし
011011,北海道,札幌市中央区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ,ホッカイドウ,サッポロシチュウオウク,ほっかいどう,さっぽろしちゅうおうく
011029,北海道,札幌市北区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｷﾀｸ,ホッカイドウ,サッポロシキタク,ほっかいどう,さっぽろしきたく
011037,北海道,札幌市東区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾋｶﾞｼｸ,ホッカイドウ,サッポロシヒガシク,ほっかいどう,さっぽろしひがしく
011045,北海道,札幌市白石区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｼﾛｲｼｸ,ホッカイドウ,サッポロシシロイシク,ほっかいどう,さっぽろししろいしく
011053,北海道,札幌市豊平区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ,ホッカイドウ,サッポロシトヨヒラク,ほっかいどう,さっぽろしとよひらく
011061,北海道,札幌市南区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾐﾅﾐｸ,ホッカイドウ,サッポロシミナミク,ほっかいどう,さっぽろしみなみく
011070,北海道,札幌市西区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾆｼｸ,ホッカイドウ,サッポロシニシク,ほっかいどう,さっぽろしにしく
011088,北海道,札幌市厚別区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ,ホッカイドウ,サッポロシアツベツク,ほっかいどう,さっぽろしあつべつく
011096,北海道,札幌市手稲区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾃｲﾈｸ,ホッカイドウ,サッポロシテイネク,ほっかいどう,さっぽろしていねく
011100,北海道,札幌市清田区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｷﾖﾀｸ,ホッカイドウ,サッポロシキヨタク,ほっかいどう,さっぽろしきよたく
012025,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,ホッカイドウ,ハコダテシ,ほっかいどう,はこだてし
012033,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,ホッカイドウ,オタルシ,ほっかいどう,おたるし
012041,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,ホッカイドウ,アサヒカワシ,ほっかいどう,あさひかわし
012050,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,ホッカイドウ,ムロランシ,ほっかいどう,むろらんし
012068,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,ホッカイドウ,クシロシ,ほっかいどう,くしろし
012076,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,ホッカイドウ,オビヒロシ,ほっかいどう,おびひろし
012084,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,ホッカイドウ,キタミシ,ほっかいどう,きたみし
012092,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,ホッカイドウ,ユウバリシ,ほっかいどう,ゆうばりし
012106,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,ホッカイドウ,イワミザワシ,ほっかいどう,いわみざわし
012114,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,ホッカイドウ,アバシリシ,ほっかいどう,あばしりし
012122,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,ホッカイドウ,ルモイシ,ほっかいどう,るもいし
012131,北海道,苫小牧市,ﾎｯｶｲﾄﾞｳ,ﾄﾏｺﾏｲｼ,ホッカイドウ,トマコマイシ,ほっかいどう,とまこまいし
012149,北海道,稚内市,ﾎｯｶｲﾄﾞｳ,ﾜｯｶﾅｲｼ,ホッカイドウ,ワッカナイシ,ほっかいどう,わっかないし
