"_acquisition_time","P#","Prefecture","Prefecture (ja)","Cases","Recovered","Deaths","Deaths (Calculated)","Reinfected","NHK Difference","Active"
"2020/08/06 16:25:45 -0900","1","<a href=""https://www.google.com/url?q=http://www.pref.hokkaido.lg.jp/ss/tkk/singatakoronahaien.htm&sa=D&ust=1596702397346000&usg=AFQjCNEPAajkA-A1FSshLmQjJCQQ-NRr-Q"" rel=""noreferrer"" target=""_blank"">Hokkaido</a>","北海道","1503","1261","103","103","11","-11","150"
"2020/08/06 16:25:45 -0900","2","<a href=""https://www.google.com/url?q=https://covid19.codeforaomori.org/&sa=D&ust=1596702397346000&usg=AFQjCNEKIDev8j_TtalYQZxEL-3iN8W1qw"" rel=""noreferrer"" target=""_blank"">Aomori</a>","青森県","35","30","1","1","","3","4"
"2020/08/06 16:25:45 -0900","3","Iwate","岩手県","5","1","0","0","","","4"
"2020/08/06 16:25:45 -0900","4","<a href=""https://www.google.com/url?q=https://www.pref.miyagi.jp/site/covid-19/02.html&sa=D&ust=1596702397347000&usg=AFQjCNFcLc0trp_gVSN51ZntzElNExvZFA"" rel=""noreferrer"" target=""_blank"">Miyagi</a>","宮城県","177","146","1","1","","","30"
"2020/08/06 16:25:45 -0900","5","Akita","秋田県","18","16","0","0","","","2"
"2020/08/06 16:25:45 -0900","6","<a href=""https://www.google.com/url?q=http://www.pref.yamagata.jp/ou/bosai/020072/kochibou/coronavirus/coronavirus.html%23kensa&sa=D&ust=1596702397347000&usg=AFQjCNEltw6oGKIhtq2eJzmfEF5QGEEgBw"" rel=""noreferrer"" target=""_blank"">Yamagata</a>","山形県","76","75","1","1","1","","1"
"2020/08/06 16:25:45 -0900","7","<a href=""https://www.google.com/url?q=https://fukushima-covid19.firebaseapp.com/&sa=D&ust=1596702397348000&usg=AFQjCNH7Cuok04mZeiXo8S_OLFYnz0z8Fw"" rel=""noreferrer"" target=""_blank"">Fukushima</a>","福島県","91","86","0","0","","","5"
"2020/08/06 16:25:45 -0900","8","<a href=""https://www.google.com/url?q=https://www.pref.ibaraki.jp/1saigai/2019-ncov/index.html&sa=D&ust=1596702397348000&usg=AFQjCNHDV-hw_dzP8ii704dlaARqbRTj1Q"" rel=""noreferrer"" target=""_blank"">Ibaraki</a>","茨城県","344","240","10","10","","","94"
"2020/08/06 16:25:45 -0900","9","<a href=""https://www.google.com/url?q=https://covid19-tochigi.netlify.app/&sa=D&ust=1596702397348000&usg=AFQjCNEZZSErsGhMsLjPSXK7a4N8GU95_g"" rel=""noreferrer"" target=""_blank"">Tochigi</a>","栃木県","224","147","0","0","","","77"
"2020/08/06 16:25:45 -0900","10","<a href=""https://www.google.com/url?q=https://stopcovid19.pref.gunma.jp/&sa=D&ust=1596702397349000&usg=AFQjCNHwg3-o0V75Xnt9gQmX5M8z80TgGw"" rel=""noreferrer"" target=""_blank"">Gunma</a>","群馬県","202","148","19","19","","","35"
"2020/08/06 16:25:45 -0900","11","<a href=""https://www.google.com/url?q=https://www.pref.saitama.lg.jp/a0701/shingatacoronavirus.html&sa=D&ust=1596702397349000&usg=AFQjCNFIo-0ekHKDVUfc5S30mu4ukQSsNA"" rel=""noreferrer"" target=""_blank"">Saitama</a>","埼玉県","2627","1962","76","77","","3","589"
"2020/08/06 16:25:45 -0900","12","<a href=""https://www.google.com/url?q=https://www.pref.chiba.lg.jp/shippei/press/2019/ncov-index.html%23musyoujou&sa=D&ust=1596702397349000&usg=AFQjCNES11SMnJgALP29JefdPeVP5qOBZg"" rel=""noreferrer"" target=""_blank"">Chiba</a>","千葉県","1921","1315","51","51","","10","555"
"2020/08/06 16:25:45 -0900","13","<a href=""https://www.google.com/url?q=https://stopcovid19.metro.tokyo.lg.jp/en/&sa=D&ust=1596702397350000&usg=AFQjCNEFtalJcPghDPTDFrvpYhoYx81f2A"" rel=""noreferrer"" target=""_blank"">Tokyo</a>","東京都","14655","10437","333","333","","10","3885"
