"Number","Prefecture","都道府県読み","都道府県","Capital","都道府県庁所在地読み","都道府県庁所在地","最大都市","Region","地方読み","地方","人口","面積(km2)","市町村数","ISO","ISO-JIS-Number","都道府県略称"
"40","Hokkaido","ほっかいどう","北海道","Sapporo","さっぽろし","札幌市","札幌市","Hokkaido","ほっかいどう","北海道","5,383,579","83,424.22","179","JP-01","01","北海道"
"2","Aomori","あおもりけん","青森県","Aomori","あおもりし","青森市","青森市","Tohoku","とうほく","東北","1,308,649","9,645.40","40","JP-02","02","青森"
"6","Iwate","いわてけん","岩手県","Morioka","もりおかし","盛岡市","盛岡市","Tohoku","とうほく","東北","1,279,814","15,275.02","33","JP-03","03","岩手"
"42","Miyagi","みやぎけん","宮城県","Sendai","せんだいし","仙台市","仙台市","Tohoku","とうほく","東北","2,334,215","7,282.14","35","JP-04","04","宮城"
"3","Akita","あきたけん","秋田県","Akita","あきたし","秋田市","秋田市","Tohoku","とうほく","東北","1,022,839","11,637.54","25","JP-05","05","秋田"
"44","Yamagata","やまがたけん","山形県","Yamagata","やまがたし","山形市","山形市","Tohoku","とうほく","東北","1,122,957","9,323.15","35","JP-06","06","山形"
"39","Fukushima","ふくしまけん","福島県","Fukushima","ふくしまし","福島市","いわき市","Tohoku","とうほく","東北","1,913,606","13,783.75","59","JP-07","07","福島"
"5","Ibaraki","いばらきけん","茨城県","Mito","みとし","水戸市","水戸市","Kanto","かんとう","関東","2,917,857","6,096.93","44","JP-08","08","茨城"
"28","Tochigi","とちぎけん","栃木県","Utsunomiya","うつのみやし","宇都宮市","宇都宮市","Kanto","かんとう","関東","1,974,671","6,408.09","25","JP-09","09","栃木"
"18","Gunma","ぐんまけん","群馬県","Maebashi","まえばしし","前橋市","高崎市","Kanto","かんとう","関東","1,973,476","6,362.28","35","JP-10","10","群馬"
"20","Saitama","さいたまけん","埼玉県","Saitama","さいたまし","さいたま市","さいたま市","Kanto","かんとう","関東","7,261,271","3,797.75","63","JP-11","11","埼玉"
"25","Chiba","ちばけん","千葉県","Chiba","ちばし","千葉市","千葉市","Kanto","かんとう","関東","6,224,027","5,157.64","54","JP-12","12","千葉"
"26","Tokyo","とうきょうと","東京都","Shinjuku","しんじゅくく","東京 (新宿区)","東京 (世田谷区)","Kanto","かんとう","関東","13,513,734","2,190.90","62","JP-13","13","東京"
"14","Kanagawa","かながわけん","神奈川県","Yokohama","よこはまし","横浜市","横浜市","Kanto","かんとう","関東","9,127,323","2,415.81","33","JP-14","14","神奈川"
"34","Niigata","にいがたけん","新潟県","Niigata","にいがたし","新潟市","新潟市","Chubu","ちゅうぶ","中部","2,305,098","12,584.10","30","JP-15","15","新潟"
"30","Toyama","とやまけん","富山県","Toyama","とやまし","富山市","富山市","Chubu","ちゅうぶ","中部","1,066,883","4,247.61","15","JP-16","16","富山"
"4","Ishikawa","いしかわけん","石川県","Kanazawa","かなざわし","金沢市","金沢市","Chubu","ちゅうぶ","中部","1,154,343","4,186.15","19","JP-17","17","石川"
"37","Fukui","ふくいけん","福井県","Fukui","ふくいし","福井市","福井市","Chubu","ちゅうぶ","中部","787,099","4,190.43","17","JP-18","18","福井"
"46","Yamanashi","やまなしけん","山梨県","Kofu","こうふし","甲府市","甲府市","Chubu","ちゅうぶ","中部","835,165","4,464.99","27","JP-19","19","山梨"
"32","Nagano","ながのけん","長野県","Nagano","ながのし","長野市","長野市","Chubu","ちゅうぶ","中部","2,099,759","13,561.56","77","JP-20","20","長野"
"15","Gifu","ぎふけん","岐阜県","Gifu","ぎふし","岐阜市","岐阜市","Chubu","ちゅうぶ","中部","2,032,533","10,621.29","42","JP-21","21","岐阜"
"23","Shizuoka","しずおかけん","静岡県","Shizuoka","しずおかし","静岡市","浜松市","Chubu","ちゅうぶ","中部","3,701,181","7,778.70","35","JP-22","22","静岡"
"1","Aichi","あいちけん","愛知県","Nagoya","なごやし","名古屋市","名古屋市","Chubu","ちゅうぶ","中部","7,484,094","5,172.40","54","JP-23","23","愛知"
"41","Mie","みえけん","三重県","Tsu","つし","津市","四日市市","Kinki","きんき","近畿","1,815,827","5,774.39","29","JP-24","24","三重"
"22","Shiga","しがけん","滋賀県","Otsu","おおつし","大津市","大津市","Kinki","きんき","近畿","1,413,184","4,017.38","19","JP-25","25","滋賀"
