"_acquisition_time","Date","Confirmed","Recovered","Deceased","Critical","Tested","Deceased (Auto)"
"2020/06/19 06:14:22 -0900","2020-02-01","18","","0","","","0"
"2020/06/19 06:14:22 -0900","2020-02-06","23","","0","","","0"
"2020/06/19 06:14:22 -0900","2020-02-12","28","","0","","","0"
"2020/06/19 06:14:22 -0900","2020-02-13","33","","1","","","1"
"2020/06/19 06:14:22 -0900","2020-02-16","60","12","1","","","2"
"2020/06/19 06:14:22 -0900","2020-02-17","67","16","1","","","2"
"2020/06/19 06:14:22 -0900","2020-02-18","79","18","1","","","4"
"2020/06/19 06:14:22 -0900","2020-02-19","85","18","1","","","4"
"2020/06/19 06:14:22 -0900","2020-02-20","95","20","1","","","5"
"2020/06/19 06:14:22 -0900","2020-02-21","112","22","1","","","6"
"2020/06/19 06:14:22 -0900","2020-02-22","137","22","1","","","7"
"2020/06/19 06:14:22 -0900","2020-02-23","149","23","1","","","7"
"2020/06/19 06:14:22 -0900","2020-02-24","160","23","1","","","7"
"2020/06/19 06:14:22 -0900","2020-02-25","173","23","1","","","8"
"2020/06/19 06:14:22 -0900","2020-02-26","192","36","3","15","1890","9"
"2020/06/19 06:14:22 -0900","2020-02-27","218","37","5","16","2058","9"
"2020/06/19 06:14:22 -0900","2020-02-28","236","41","5","20","2209","9"
"2020/06/19 06:14:22 -0900","2020-02-29","245","41","5","20","2339","10"
"2020/06/19 06:14:22 -0900","2020-03-01","259","41","6","20","2339","10"
"2020/06/19 06:14:22 -0900","2020-03-02","278","42","6","23","2517","10"
"2020/06/19 06:14:22 -0900","2020-03-03","298","46","6","24","2684","10"
"2020/06/19 06:14:22 -0900","2020-03-04","333","46","6","24","6519","13"
"2020/06/19 06:14:22 -0900","2020-03-05","365","46","6","24","6777","14"
"2020/06/19 06:14:22 -0900","2020-03-06","420","46","6","24","7476","15"
"2020/06/19 06:14:22 -0900","2020-03-07","466","50","6","30","8029","18"
"2020/06/19 06:14:22 -0900","2020-03-08","499","57","7","27","8176","21"
"2020/06/19 06:14:22 -0900","2020-03-09","527","86","9","33","8286","23"
"2020/06/19 06:14:22 -0900","2020-03-10","585","86","12","31","9600","29"
"2020/06/19 06:14:22 -0900","2020-03-11","640","118","15","26","10024","32"
"2020/06/19 06:14:22 -0900","2020-03-12","696","118","17","29","10205","33"
"2020/06/19 06:14:22 -0900","2020-03-13","733","118","19","32","11231","35"
"2020/06/19 06:14:22 -0900","2020-03-14","795","122","22","35","12060","42"
"2020/06/19 06:14:22 -0900","2020-03-15","826","134","24","36","13026","46"
"2020/06/19 06:14:22 -0900","2020-03-16","843","139","27","41","13068","48"
"2020/06/19 06:14:22 -0900","2020-03-17","893","144","29","46","15655","49"
"2020/06/19 06:14:22 -0900","2020-03-18","928","144","29","46","14525","49"
"2020/06/19 06:14:22 -0900","2020-03-19","968","161","33","46","15354","49"
"2020/06/19 06:14:22 -0900","2020-03-20","1022","193","35","50","18844","50"
"2020/06/19 06:14:22 -0900","2020-03-21","1059","198","36","55","18963","51"
