"表章項目","男女別","人口","時間軸（年月日現在）","全国・都道府県","/年齢5歳階級","総数","注釈","0～4歳","注釈","5～9歳","注釈","10～14歳","注釈","15～19歳","注釈","20～24歳","注釈","25～29歳","注釈","30～34歳","注釈","35～39歳","注釈","40～44歳","注釈","45～49歳","注釈","50～54歳","注釈","55～59歳","注釈","60～64歳","注釈","65～69歳","注釈","70～74歳","注釈","75～79歳","注釈","80～84歳","注釈","85歳以上","注釈"
"人口【千人】","男女計","総人口","2019年10月1日現在","全国","","126167","","4758","","5101","","5351","","5820","","6388","","6240","","6752","","7551","","8718","","9802","","8567","","7711","","7523","","8709","","8686","","7241","","5328","","5921",""
"人口【千人】","男女計","総人口","2019年10月1日現在","北海道","","5250","","170","","191","","204","","225","","234","","229","","257","","296","","352","","387","","347","","340","","345","","425","","395","","318","","250","","286",""
"人口【千人】","男女計","総人口","2019年10月1日現在","青森県","","1246","","40","","44","","49","","56","","48","","47","","56","","67","","79","","86","","83","","86","","92","","106","","95","","77","","65","","72",""
"人口【千人】","男女計","総人口","2019年10月1日現在","岩手県","","1227","","40","","46","","51","","55","","47","","48","","56","","67","","79","","83","","78","","82","","89","","101","","87","","75","","65","","78",""
"人口【千人】","男女計","総人口","2019年10月1日現在","宮城県","","2306","","84","","91","","97","","107","","122","","119","","126","","141","","159","","167","","146","","144","","152","","174","","149","","121","","97","","113",""
"人口【千人】","男女計","総人口","2019年10月1日現在","秋田県","","966","","27","","32","","36","","39","","31","","31","","40","","49","","59","","62","","59","","67","","76","","89","","77","","64","","59","","71",""
"人口【千人】","男女計","総人口","2019年10月1日現在","山形県","","1078","","36","","41","","46","","50","","41","","41","","51","","60","","68","","70","","65","","71","","78","","91","","77","","63","","56","","74",""
"人口【千人】","男女計","総人口","2019年10月1日現在","福島県","","1846","","65","","69","","77","","87","","74","","76","","91","","102","","118","","125","","117","","125","","137","","155","","127","","106","","86","","109",""
"人口【千人】","男女計","総人口","2019年10月1日現在","茨城県","","2860","","103","","114","","125","","137","","134","","126","","146","","168","","195","","220","","189","","175","","186","","220","","206","","171","","117","","128",""
"人口【千人】","男女計","総人口","2019年10月1日現在","栃木県","","1934","","71","","78","","86","","92","","84","","86","","103","","118","","137","","149","","128","","120","","129","","150","","136","","106","","75","","87",""
"人口【千人】","男女計","総人口","2019年10月1日現在","群馬県","","1942","","69","","77","","86","","96","","93","","86","","96","","109","","132","","150","","130","","117","","121","","143","","142","","116","","81","","97",""
"人口【千人】","男女計","総人口","2019年10月1日現在","埼玉県","","7350","","275","","295","","311","","339","","407","","392","","402","","449","","527","","616","","527","","438","","411","","485","","505","","435","","284","","251",""
"人口【千人】","男女計","総人口","2019年10月1日現在","千葉県","","6259","","231","","246","","263","","286","","324","","314","","335","","380","","444","","518","","444","","375","","356","","425","","447","","379","","254","","238",""
"人口【千人】","男女計","総人口","2019年10月1日現在","東京都","","13921","","535","","518","","500","","550","","868","","951","","946","","1006","","1079","","1178","","1039","","845","","695","","739","","778","","673","","499","","519",""
"人口【千人】","男女計","総人口","2019年10月1日現在","神奈川県","","9198","","346","","369","","384","","419","","519","","507","","516","","580","","675","","790","","705","","571","","488","","552","","580","","503","","349","","345",""
"人口【千人】","男女計","総人口","2019年10月1日現在","新潟県","","2223","","75","","86","","93","","101","","92","","90","","107","","123","","147","","156","","143","","139","","151","","179","","163","","132","","109","","137",""
"人口【千人】","男女計","総人口","2019年10月1日現在","富山県","","1044","","36","","39","","44","","49","","46","","42","","49","","56","","71","","81","","67","","62","","64","","77","","84","","67","","48","","61",""
"人口【千人】","男女計","総人口","2019年10月1日現在","石川県","","1138","","43","","47","","50","","57","","58","","52","","57","","63","","78","","88","","73","","67","","69","","79","","86","","67","","46","","59",""
"人口【千人】","男女計","総人口","2019年10月1日現在","福井県","","768","","29","","32","","35","","38","","34","","32","","38","","42","","50","","55","","48","","48","","50","","57","","54","","45","","34","","45",""
"人口【千人】","男女計","総人口","2019年10月1日現在","山梨県","","811","","29","","31","","35","","40","","38","","34","","38","","43","","51","","59","","56","","53","","54","","61","","57","","49","","37","","46",""
"人口【千人】","男女計","総人口","2019年10月1日現在","長野県","","2049","","74","","83","","92","","99","","83","","79","","94","","110","","136","","153","","136","","127","","129","","148","","149","","128","","97","","132",""
"人口【千人】","男女計","総人口","2019年10月1日現在","岐阜県","","1987","","74","","84","","91","","100","","95","","84","","96","","109","","132","","151","","131","","122","","121","","143","","147","","121","","89","","99",""
"人口【千人】","男女計","総人口","2019年10月1日現在","静岡県","","3644","","134","","151","","162","","173","","157","","157","","186","","210","","245","","279","","247","","226","","228","","265","","263","","222","","160","","180",""
"人口【千人】","男女計","総人口","2019年10月1日現在","愛知県","","7552","","314","","334","","343","","370","","427","","420","","442","","478","","543","","621","","524","","446","","399","","450","","483","","407","","279","","273",""
"人口【千人】","男女計","総人口","2019年10月1日現在","三重県","","1781","","65","","73","","79","","86","","84","","79","","89","","100","","118","","137","","120","","112","","109","","125","","127","","108","","79","","91",""
"人口【千人】","男女計","総人口","2019年10月1日現在","滋賀県","","1414","","60","","66","","69","","74","","75","","71","","78","","87","","101","","110","","92","","83","","81","","92","","91","","73","","51","","60",""
"人口【千人】","男女計","総人口","2019年10月1日現在","京都府","","2583","","92","","100","","107","","120","","155","","141","","133","","146","","173","","200","","172","","151","","141","","170","","190","","159","","111","","124",""
"人口【千人】","男女計","総人口","2019年10月1日現在","大阪府","","8809","","330","","346","","366","","410","","491","","473","","480","","521","","609","","733","","631","","523","","462","","555","","616","","542","","373","","348",""
"人口【千人】","男女計","総人口","2019年10月1日現在","兵庫県","","5466","","209","","225","","239","","262","","271","","245","","271","","310","","370","","435","","378","","337","","322","","376","","397","","330","","235","","254",""
"人口【千人】","男女計","総人口","2019年10月1日現在","奈良県","","1330","","47","","53","","58","","66","","65","","56","","61","","69","","84","","101","","90","","82","","81","","98","","104","","89","","61","","65",""
"人口【千人】","男女計","総人口","2019年10月1日現在","和歌山県","","925","","32","","36","","39","","44","","38","","35","","42","","48","","57","","68","","61","","60","","61","","71","","72","","62","","46","","55",""
"人口【千人】","男女計","総人口","2019年10月1日現在","鳥取県","","556","","22","","23","","25","","26","","22","","22","","27","","32","","36","","38","","33","","34","","38","","44","","41","","31","","26","","36",""
"人口【千人】","男女計","総人口","2019年10月1日現在","島根県","","674","","26","","28","","29","","31","","26","","25","","31","","36","","42","","44","","38","","41","","45","","54","","52","","40","","35","","50",""
"人口【千人】","男女計","総人口","2019年10月1日現在","岡山県","","1890","","74","","79","","83","","92","","97","","90","","96","","106","","124","","139","","114","","107","","114","","130","","140","","112","","84","","106",""
"人口【千人】","男女計","総人口","2019年10月1日現在","広島県","","2804","","110","","122","","126","","133","","136","","130","","146","","162","","190","","217","","180","","163","","165","","194","","205","","164","","118","","141",""
"人口【千人】","男女計","総人口","2019年10月1日現在","山口県","","1358","","48","","53","","57","","62","","57","","54","","62","","71","","85","","96","","81","","79","","88","","109","","111","","91","","69","","86",""
"人口【千人】","男女計","総人口","2019年10月1日現在","徳島県","","728","","25","","27","","29","","32","","29","","28","","34","","40","","46","","51","","45","","45","","51","","60","","58","","44","","36","","47",""
"人口【千人】","男女計","総人口","2019年10月1日現在","香川県","","956","","36","","39","","41","","45","","42","","38","","46","","53","","64","","71","","59","","56","","61","","71","","76","","57","","44","","57",""
"人口【千人】","男女計","総人口","2019年10月1日現在","愛媛県","","1339","","48","","54","","57","","62","","53","","51","","63","","72","","87","","95","","83","","83","","90","","106","","105","","82","","65","","83",""
"人口【千人】","男女計","総人口","2019年10月1日現在","高知県","","698","","24","","26","","28","","31","","27","","25","","30","","36","","45","","49","","42","","43","","47","","56","","58","","46","","36","","50",""
