"_acquisition_time","Prefecture","Prefecture (ja)","Cases","Recovered","Deaths","Deaths (Calculated)","NHK Difference"
"2020/05/02 02:07:58 -0900","Total","計","14382","2975","477","458",""
"2020/05/02 02:07:58 -0900","Aichi","愛知県","488","75","32","30","-2"
"2020/05/02 02:07:58 -0900","Akita","秋田県","16","7","","0",""
"2020/05/02 02:07:58 -0900","Aomori","青森県","26","14","","0",""
"2020/05/02 02:07:58 -0900","Chiba","千葉県","842","103","34","34","2"
"2020/05/02 02:07:58 -0900","Ehime","愛媛県","47","25","3","3",""
"2020/05/02 02:07:58 -0900","Fukui","福井県","122","69","8","6",""
"2020/05/02 02:07:58 -0900","Fukuoka","福岡県","642","170","19","19","3"
"2020/05/02 02:07:58 -0900","Fukushima","福島県","74","19","","0",""
"2020/05/02 02:07:58 -0900","Gifu","岐阜県","149","65","7","6",""
"2020/05/02 02:07:58 -0900","Gunma","群馬県","146","15","15","14",""
"2020/05/02 02:07:58 -0900","Hiroshima","広島県","155","30","2","2",""
"2020/05/02 02:07:58 -0900","Hokkaido","北海道","789","238","36","36","-3"
"2020/05/02 02:07:58 -0900","Hyogo","兵庫県","651","81","27","27",""
"2020/05/02 02:07:58 -0900","Ibaraki","茨城県","165","35","8","8",""
"2020/05/02 02:07:58 -0900","Ishikawa","石川県","255","22","11","9",""
"2020/05/02 02:07:58 -0900","Iwate","岩手県","0","","","0",""
"2020/05/02 02:07:58 -0900","Kagawa","香川県","28","6","","0",""
"2020/05/02 02:07:58 -0900","Kagoshima","鹿児島県","10","4","","0",""
"2020/05/02 02:07:58 -0900","Kanagawa","神奈川県","1024","168","35","35",""
"2020/05/02 02:07:58 -0900","Kochi","高知県","74","28","3","3",""
"2020/05/02 02:07:58 -0900","Kumamoto","熊本県","46","13","1","1","1"
"2020/05/02 02:07:58 -0900","Kyoto","京都府","321","159","11","11","-2"
"2020/05/02 02:07:58 -0900","Mie","三重県","45","19","1","1",""
"2020/05/02 02:07:58 -0900","Miyagi","宮城県","88","32","","0",""
"2020/05/02 02:07:58 -0900","Miyazaki","宮崎県","17","11","","0",""
"2020/05/02 02:07:58 -0900","Nagano","長野県","66","17","","0",""
"2020/05/02 02:07:58 -0900","Nagasaki","長崎県","17","9","1","1",""
"2020/05/02 02:07:58 -0900","Nara","奈良県","86","14","1","1",""
"2020/05/02 02:07:58 -0900","Niigata","新潟県","75","32","","0",""
"2020/05/02 02:07:58 -0900","Oita","大分県","60","30","1","1",""
"2020/05/02 02:07:58 -0900","Okayama","岡山県","23","10","","0",""
"2020/05/02 02:07:58 -0900","Okinawa","沖縄県","146","24","5","5","3"
"2020/05/02 02:07:58 -0900","Osaka","大阪府","1639","640","41","40",""
"2020/05/02 02:07:58 -0900","Saga","佐賀県","41","7","","0",""
"2020/05/02 02:07:58 -0900","Saitama","埼玉県","864","255","35","35","1"
"2020/05/02 02:07:58 -0900","Shiga","滋賀県","95","35","1","1",""
"2020/05/02 02:07:58 -0900","Shimane","島根県","23","7","","0",""
"2020/05/02 02:07:58 -0900","Shizuoka","静岡県","74","24","1","1",""
"2020/05/02 02:07:58 -0900","Tochigi","栃木県","54","16","","0",""
"2020/05/02 02:07:58 -0900","Tokushima","徳島県","5","3","","0",""
"2020/05/02 02:07:58 -0900","Tokyo","東京都","4321","59","126","117",""
"2020/05/02 02:07:58 -0900","Tottori","鳥取県","3","1","","0",""
"2020/05/02 02:07:58 -0900","Toyama","富山県","197","22","9","9",""
"2020/05/02 02:07:58 -0900","Unspecified","不明","8","247","1","0","1"
"2020/05/02 02:07:58 -0900","Wakayama","和歌山県","60","28","2","2",""
"2020/05/02 02:07:58 -0900","Yamagata","山形県","68","38","","0",""
"2020/05/02 02:07:58 -0900","Yamaguchi","山口県","32","24","","0",""
"2020/05/02 02:07:58 -0900","Yamanashi","山梨県","53","24","","0",""
"2020/05/02 02:07:58 -0900","Port Quarantine","空港検疫","152","1","","0","-3"
